year,month,clt_pct,rsds_wm2
1940,7,13.758778,348.22827
1940,8,19.526346,289.84143
1940,9,38.44755,245.63132
1940,10,22.149954,217.44785
1940,11,30.068657,165.7196
1940,12,21.166794,150.65665
1941,1,38.981255,149.94551
1941,2,16.521784,213.96812
1941,3,42.530704,241.05815
1941,4,28.045773,304.93768
1941,5,44.55063,301.9594
1941,6,35.629097,348.1056
1941,7,22.328972,323.7392
1941,8,28.57557,292.9671
1941,9,26.681665,255.23738
1941,10,23.471525,215.77388
1941,11,43.480732,151.73534
1941,12,43.64724,134.50708
1942,1,45.28498,143.2743
1942,2,72.806404,175.46494
1942,3,58.871693,208.49753
1942,4,58.77961,265.41034
1942,5,36.04776,323.18427
1942,6,31.046171,342.40027
1942,7,24.638735,328.2314
1942,8,34.49791,298.9611
1942,9,29.600548,249.35838
1942,10,45.500183,186.65193
1942,11,38.410954,153.47362
1942,12,33.368835,136.04614
1943,1,54.89098,132.70946
1943,2,50.500835,161.27127
1943,3,55.76054,200.43427
1943,4,39.855392,278.33994
1943,5,38.611744,313.35364
1943,6,37.822056,339.35062
1943,7,27.231085,327.28363
1943,8,27.147316,296.6905
1943,9,16.18742,258.3101
1943,10,39.104797,194.29301
1943,11,47.0894,143.24841
1943,12,45.809788,128.65475
1944,1,58.336037,127.11104
1944,2,44.649952,171.52151
1944,3,47.402767,232.74117
1944,4,59.012127,234.47653
1944,5,33.412914,322.1898
1944,6,46.65569,338.4132
1944,7,28.808544,327.50854
1944,8,27.48858,305.46912
1944,9,19.49451,265.2097
1944,10,22.7269,217.57114
1944,11,26.572819,171.88116
1944,12,29.196835,144.9732
1945,1,33.863148,157.66116
1945,2,58.181637,173.4248
1945,3,30.806437,253.91623
1945,4,34.596497,283.7273
1945,5,50.770996,321.61267
1945,6,23.333387,338.4508
1945,7,18.171856,337.99875
1945,8,14.988643,315.3139
1945,9,17.584497,271.60944
1945,10,15.120071,222.80151
1945,11,22.825941,162.53746
1945,12,61.706554,116.099915
1946,1,32.159447,146.82858
1946,2,23.762259,205.67067
1946,3,39.359608,237.98085
1946,4,52.292164,284.45276
1946,5,52.277752,301.57797
1946,6,32.255375,344.62393
1946,7,14.238775,331.08362
1946,8,15.02924,313.09686
1946,9,14.975807,263.9162
1946,10,17.648657,200.01312
1946,11,22.123123,165.26222
1946,12,51.052784,127.1304
1947,1,43.895653,162.0006
1947,2,56.766556,161.95079
1947,3,48.61847,235.65599
1947,4,45.830574,292.62537
1947,5,30.92985,328.10223
1947,6,32.22744,334.40784
1947,7,16.950571,336.27963
1947,8,23.112911,292.20477
1947,9,30.451067,253.20667
1947,10,21.574343,208.14188
1947,11,56.775356,143.0518
1947,12,38.9864,142.55754
1948,1,62.19402,134.3093
1948,2,44.51155,194.2723
1948,3,61.112984,214.61734
1948,4,55.60788,266.41797
1948,5,40.121033,326.89264
1948,6,37.888294,326.41025
1948,7,24.7531,331.1721
1948,8,11.762436,318.4222
1948,9,29.04583,235.65883
1948,10,27.356949,202.06326
1948,11,42.01037,161.48854
1948,12,33.124874,144.54567
1949,1,14.656521,162.81093
1949,2,60.095505,151.65446
1949,3,61.278088,210.58325
1949,4,26.669546,307.6527
1949,5,51.461834,295.3487
1949,6,31.287617,347.41858
1949,7,22.521198,343.35016
1949,8,25.769083,313.74005
1949,9,25.34035,266.63843
1949,10,37.721004,199.94455
1949,11,52.26715,143.92929
1949,12,48.54052,123.82384
1950,1,35.486702,153.49742
1950,2,58.30491,169.37456
1950,3,73.15961,196.99149
1950,4,53.8215,268.8107
1950,5,31.850824,323.3108
1950,6,28.938473,333.21344
1950,7,26.14899,329.5353
1950,8,32.649593,282.50336
1950,9,23.489023,258.5674
1950,10,25.274456,220.34819
1950,11,27.319004,166.83728
1950,12,42.857227,132.46089
1951,1,43.16291,148.5073
1951,2,37.098125,197.34604
1951,3,67.94255,217.19316
1951,4,39.692585,285.15173
1951,5,35.539204,330.2278
1951,6,33.025974,343.4555
1951,7,17.032862,345.50726
1951,8,27.844646,276.63535
1951,9,32.05783,240.76808
1951,10,22.040293,209.35597
1951,11,27.1281,159.06146
1951,12,47.80161,114.473366
1952,1,40.381607,146.24342
1952,2,62.683548,170.22432
1952,3,48.156162,216.99365
1952,4,29.55591,293.89682
1952,5,33.479946,318.252
1952,6,32.447823,334.8886
1952,7,26.21174,338.08652
1952,8,29.862543,304.62567
1952,9,39.46697,262.83316
1952,10,25.026627,212.62047
1952,11,30.422565,158.38727
1952,12,26.008448,139.27611
1953,1,47.01338,142.0208
1953,2,44.51817,189.01959
1953,3,57.14509,232.92159
1953,4,24.462736,304.21622
1953,5,31.87168,325.73764
1953,6,33.308163,332.55603
1953,7,18.42061,330.37402
1953,8,12.13481,318.74603
1953,9,19.826004,253.98222
1953,10,35.6022,210.03732
1953,11,47.14183,148.27646
1953,12,37.665947,134.04337
1954,1,42.27786,147.98468
1954,2,47.331467,170.16159
1954,3,70.55293,195.47087
1954,4,60.152264,261.2451
1954,5,36.629097,315.87265
1954,6,27.498278,346.40854
1954,7,19.845762,349.50467
1954,8,27.520872,283.09253
1954,9,22.345356,264.05563
1954,10,30.372972,201.39601
1954,11,39.78625,158.70982
1954,12,35.591557,135.01001
1955,1,36.265667,153.48369
1955,2,46.338768,177.81895
1955,3,43.696342,233.69904
1955,4,36.08217,307.46106
1955,5,28.258364,338.08505
1955,6,16.948515,348.5874
1955,7,11.040066,350.50754
1955,8,10.271978,308.7026
1955,9,16.65479,259.96307
1955,10,14.463504,222.60893
1955,11,20.050814,171.08116
1955,12,48.240055,130.80243
1956,1,59.25787,124.38097
1956,2,53.202713,174.91238
1956,3,47.706738,246.15244
1956,4,47.564327,298.04016
1956,5,32.223442,322.01953
1956,6,40.646435,345.53552
1956,7,17.667385,334.5615
1956,8,13.293688,308.72583
1956,9,32.274235,254.13675
1956,10,26.09505,219.56894
1956,11,51.193424,144.14604
1956,12,51.97565,127.25588
1957,1,73.57283,116.87525
1957,2,31.211374,201.98898
1957,3,41.20143,236.98152
1957,4,44.560764,273.41916
1957,5,40.87424,320.9326
1957,6,21.340647,351.81323
1957,7,31.910166,317.57455
1957,8,29.64253,297.7394
1957,9,22.733257,242.43513
1957,10,6.621543,227.43446
1957,11,34.49212,167.65683
1957,12,24.589094,148.17767
1958,1,67.554825,119.387474
1958,2,43.550797,186.95416
1958,3,73.968956,185.63329
1958,4,40.47806,280.53305
1958,5,41.434216,324.22113
1958,6,23.103838,350.57632
1958,7,22.291595,326.05383
1958,8,34.617737,297.96487
1958,9,24.874588,258.74237
1958,10,27.222858,221.48502
1958,11,30.919832,163.68074
1958,12,61.10319,110.56764
1959,1,79.12783,91.85426
1959,2,64.85029,152.7126
1959,3,61.57876,195.84055
1959,4,57.72025,253.73433
1959,5,34.526134,317.38983
1959,6,52.1034,308.7576
1959,7,18.821074,333.16287
1959,8,20.668913,303.90198
1959,9,13.902849,277.4429
1959,10,25.967993,208.23967
1959,11,33.192657,162.3241
1959,12,43.28529,130.84305
1960,1,63.667927,123.10556
1960,2,42.873203,184.3645
1960,3,36.09225,242.31963
1960,4,34.565594,294.1409
1960,5,45.03251,327.23334
1960,6,43.55503,325.0556
1960,7,17.017614,342.82455
1960,8,20.340761,291.99066
1960,9,16.430164,263.03564
1960,10,22.973028,216.71294
1960,11,45.110043,158.00298
1960,12,39.6462,134.41724
1961,1,54.496906,139.787
1961,2,44.526237,180.5807
1961,3,64.10126,214.99004
1961,4,47.89106,279.94647
1961,5,42.49131,305.24094
1961,6,28.399405,338.94272
1961,7,24.110296,335.22998
1961,8,22.999159,273.83377
1961,9,21.61315,271.87405
1961,10,19.385988,215.483
1961,11,33.64717,163.05066
1961,12,23.802654,146.27702
1962,1,49.592228,121.295845
1962,2,48.953724,193.63554
1962,3,49.385376,218.5627
1962,4,58.89279,254.94482
1962,5,40.307934,332.56403
1962,6,43.5668,328.85712
1962,7,16.734156,345.71036
1962,8,32.293156,294.26428
1962,9,14.292147,270.7474
1962,10,13.769644,224.92873
