year,mean_zos_m,zos_baseline_m,zos_anomaly_mm
1925,0.1710565125,0.1765687421777778,-5.5122296777777855
1926,0.162108888,0.1765687421777778,-14.459854177777787
1927,0.206513945,0.1765687421777778,29.94520282222221
1928,0.1910593675,0.1765687421777778,14.4906253222222
1929,0.18999648666666666,0.1765687421777778,13.427744488888866
1930,0.19074417166666668,0.1765687421777778,14.175429488888891
1931,0.19084735833333333,0.1765687421777778,14.278616155555534
1932,0.2065845441666667,0.1765687421777778,30.015801988888896
1933,0.195760925,0.1765687421777778,19.192182822222208
1934,0.18872872333333335,0.1765687421777778,12.159981155555554
1935,0.18616425583333332,0.1765687421777778,9.595513655555527
1936,0.16305809833333332,0.1765687421777778,-13.510643844444475
1937,0.173245875,0.1765687421777778,-3.3228671777777996
1938,0.1896127125,0.1765687421777778,13.04397032222221
1939,0.19456572833333333,0.1765687421777778,17.996986155555533
1940,0.19026956916666668,0.1765687421777778,13.700826988888887
1941,0.17413199916666666,0.1765687421777778,-2.436743011111131
1942,0.1796482258333333,0.1765687421777778,3.0794836555555207
1943,0.19506007250000001,0.1765687421777778,18.491330322222222
1944,0.1861478175,0.1765687421777778,9.579075322222213
1945,0.14914084583333334,0.1765687421777778,-27.427896344444452
1946,0.170300645,0.1765687421777778,-6.2680971777777925
1947,0.18842082000000002,0.1765687421777778,11.852077822222224
1948,0.19567890750000003,0.1765687421777778,19.110165322222233
1949,0.18214656416666666,0.1765687421777778,5.5778219888888705
1950,0.19138628333333332,0.1765687421777778,14.81754115555553
1951,0.1942478325,0.1765687421777778,17.6790903222222
1952,0.20675163333333332,0.1765687421777778,30.18289115555553
1953,0.199513515,0.1765687421777778,22.94477282222221
1954,0.20220975166666666,0.1765687421777778,25.641009488888866
1955,0.16111127,0.1765687421777778,-15.457472177777792
1956,0.16389742708333332,0.1765687421777778,-12.671315094444468
1957,0.19063004416666665,0.1765687421777778,14.061301988888857
1958,0.19737269999999998,0.1765687421777778,20.80395782222219
1959,0.19056515833333332,0.1765687421777778,13.996416155555524
1960,0.17434246333333334,0.1765687421777778,-2.2262788444444572
1961,0.16976108083333333,0.1765687421777778,-6.807661344444465
1962,0.19658222250000001,0.1765687421777778,20.01348032222222
1963,0.17927962,0.1765687421777778,2.7108778222222076
1964,0.15652623083333334,0.1765687421777778,-20.042511344444456
1965,0.18673905000000002,0.1765687421777778,10.170307822222224
1966,0.1904054275,0.1765687421777778,13.836685322222209
1967,0.18995850916666668,0.1765687421777778,13.389766988888885
1968,0.17888185583333335,0.1765687421777778,2.3131136555555596
1969,0.1622579925,0.1765687421777778,-14.310749677777789
1970,0.14956597616666667,0.1765687421777778,-27.002766011111124
1971,0.18129609916666667,0.1765687421777778,4.727356988888875
1972,0.18348036999999998,0.1765687421777778,6.911627822222183
1973,0.18785827,0.1765687421777778,11.289527822222201
1974,0.17385828666666667,0.1765687421777778,-2.7104555111111264
1975,0.16164979083333333,0.1765687421777778,-14.918951344444459
1976,0.1759844075,0.1765687421777778,-0.584334677777798
1977,0.19113201166666668,0.1765687421777778,14.563269488888892
1978,0.19649490333333333,0.1765687421777778,19.926161155555537
1979,0.18548692583333334,0.1765687421777778,8.91818365555555
1980,0.17835904916666667,0.1765687421777778,1.790306988888879
1981,0.18565409666666666,0.1765687421777778,9.085354488888864
1982,0.18185779416666667,0.1765687421777778,5.289051988888876
1983,0.16638490333333333,0.1765687421777778,-10.183838844444459
1984,0.14781159583333334,0.1765687421777778,-28.757146344444457
1985,0.1553229225,0.1765687421777778,-21.245819677777806
1986,0.1556983225,0.1765687421777778,-20.87041967777778
1987,0.16604181083333333,0.1765687421777778,-10.526931344444462
1988,0.15773626583333333,0.1765687421777778,-18.83247634444446
1989,0.19908255500000002,0.1765687421777778,22.513812822222228
1990,0.20591391916666665,0.1765687421777778,29.34517698888886
1991,0.1942842916666667,0.1765687421777778,17.7155494888889
1992,0.16276742666666666,0.1765687421777778,-13.801315511111135
1993,0.18828700833333334,0.1765687421777778,11.718266155555545
1994,0.19159286083333335,0.1765687421777778,15.024118655555558
1995,0.16902178499999998,0.1765687421777778,-7.546957177777813
1996,0.14987416083333335,0.1765687421777778,-26.69458134444444
1997,0.17866668249999998,0.1765687421777778,2.097940322222186
1998,0.17859670083333334,0.1765687421777778,2.0279586555555507
1999,0.18823402333333336,0.1765687421777778,11.665281155555569
2000,0.16744725333333332,0.1765687421777778,-9.12148884444447
2001,0.19545974583333334,0.1765687421777778,18.891003655555544
2002,0.18515478083333334,0.1765687421777778,8.586038655555544
2003,0.2123658075,0.1765687421777778,35.79706532222221
2004,0.18983313583333336,0.1765687421777778,13.264393655555567
2005,0.1758442375,0.1765687421777778,-0.724504677777793
2006,0.16298366666666667,0.1765687421777778,-13.585075511111128
2007,0.15489432,0.1765687421777778,-21.674422177777792
2008,0.20113071833333332,0.1765687421777778,24.561976155555527
2009,0.18239064166666666,0.1765687421777778,5.8218994888888655
2010,0.17128239,0.1765687421777778,-5.286352177777786
2011,0.18207573166666666,0.1765687421777778,5.5069894888888635
2012,0.20154718416666664,0.1765687421777778,24.97844198888885
2013,0.1901964675,0.1765687421777778,13.6277253222222
2014,0.15401259833333333,0.1765687421777778,-22.55614384444446
