year,month,temp_c,precip_mm,clt_pct
2015,1,12.417694,0.08920851675793529,14.288985
2015,2,12.704315,11.448254704475403,34.149708
2015,3,14.694733,4.858725965023041,28.198507
2015,4,14.591339,4.039449691772461,30.388323
2015,5,15.334442,5.53090612590313,43.407852
2015,6,19.290009,2.5084633380174637,28.81828
2015,7,22.921478,1.6960957124829292,10.104709
2015,8,23.384552,0.22568463440984488,8.327607
2015,9,23.101196,1.3351057469844818,22.484547
2015,10,21.295807,32.04956293106079,40.415237
2015,11,13.441437,31.50696873664856,26.787878
2015,12,10.289337,28.612293481826782,43.01995
2016,1,10.582031,132.47196531295776,54.17234
2016,2,11.038574,12.602871805429459,44.770504
2016,3,13.278595,31.734293460845947,33.585472
2016,4,14.223572,25.854222178459167,30.592752
2016,5,15.706879,5.60323329269886,41.48548
2016,6,18.476227,2.6800362020730972,25.603907
2016,7,23.33075,1.4196540415287018,32.600864
2016,8,23.740662,0.9366410598158836,29.902027
2016,9,24.778564,77.43497371673584,27.50483
2016,10,17.933502,3.1022014021873474,15.409081
2016,11,12.314117,22.081037163734436,34.968002
2016,12,10.134827,21.809495091438293,34.69878
2017,1,10.305725,19.17407262325287,40.286736
2017,2,13.514587,30.83292782306671,48.821712
2017,3,11.957214,18.793721914291382,32.806545
2017,4,13.588257,49.830594062805176,62.343185
2017,5,17.920197,9.562350451946259,44.76098
2017,6,20.877838,1.445097103714943,39.94971
2017,7,25.02649,1.3250292241573334,18.456272
2017,8,24.74179,5.348474204540253,27.792753
2017,9,23.42102,1.4395618066191673,13.948277
2017,10,22.76413,0.9410106856375933,29.965687
2017,11,14.816956,5.699707567691803,18.790854
2017,12,12.310577,32.80014610290527,38.389057
2018,1,10.269989,53.30856704711914,47.138973
2018,2,11.581909,169.75716638565063,81.31406
2018,3,10.912201,198.80801439285278,74.161224
2018,4,12.526611,32.52676248550415,42.062134
2018,5,17.589966,6.3910069316625595,56.039684
2018,6,19.10846,4.2723459005355835,32.906345
2018,7,22.52353,1.7077697589993477,27.323412
2018,8,24.074524,0.7987390179187059,28.325735
2018,9,22.957428,6.534028351306915,45.151974
2018,10,21.465576,113.46790361404419,50.595978
2018,11,14.116425,55.50267577171326,45.54732
2018,12,9.644775,99.86693358421326,51.387512
2019,1,11.44696,262.3152561187744,73.06509
2019,2,9.882904,82.10684323310852,51.892387
2019,3,12.009705,88.13119459152222,53.26645
2019,4,16.284607,21.551939249038696,32.402756
2019,5,17.379547,3.369108483195305,35.719147
2019,6,18.533813,5.445587486028671,42.137638
2019,7,21.375214,3.410539984703064,22.87883
2019,8,24.558777,0.8032147735357285,18.134293
2019,9,24.364105,0.47873061150312424,10.609301
2019,10,22.993256,29.624184608459473,23.68125
2019,11,13.279175,46.2548553943634,42.651463
2019,12,10.104095,36.607452154159546,27.62607
2020,1,9.440613,24.431405007839203,32.20946
2020,2,12.736938,0.1236857189796865,24.855543
2020,3,14.446594,32.507681488990784,44.27669
2020,4,15.2916565,27.595980763435364,48.47883
2020,5,15.166992,7.050518497824669,34.879177
2020,6,20.770294,1.6675544902682304,31.04752
2020,7,22.402496,0.5932434406131506,12.139425
2020,8,25.860352,1.0256809554994106,17.99618
2020,9,23.675598,0.587424673140049,5.264641
2020,10,20.524414,16.902125418186188,10.046393
2020,11,13.9244995,0.18995548132807016,33.50912
2020,12,13.738312,26.651116490364075,45.143284
2021,1,12.053497,125.89191246032715,54.07077
2021,2,9.730133,60.71286606788635,45.151356
2021,3,12.930725,24.184914112091064,34.092613
2021,4,16.307098,13.090205490589142,33.87737
2021,5,17.753662,1.790801253169775,48.13626
