year,month,temp_c,precip_mm
1940,9,24.5291,81.9564
1940,10,18.1259,6.1283
1940,11,13.8684,46.0981
1940,12,10.7975,4.2418
1941,1,11.2418,18.0965
1941,2,14.1747,0.0623
1941,3,15.847,13.3977
1941,4,16.5421,3.6264
1941,5,16.5517,24.5035
1941,6,19.3542,1.4857
1941,7,23.3793,1.542
1941,8,24.691,6.7887
1941,9,24.3365,4.0754
1941,10,22.9671,0.006
1941,11,14.7286,48.7786
1941,12,10.0246,99.7761
1942,1,11.7605,28.4034
1942,2,12.1914,25.5117
1942,3,12.0239,50.5575
1942,4,15.7244,19.5777
1942,5,16.4562,7.5971
1942,6,18.7233,1.557
1942,7,23.6564,0.3555
1942,8,22.8683,0.358
1942,9,23.5913,78.1922
1942,10,18.3232,57.4896
1942,11,13.1982,37.0382
1942,12,8.6034,46.2356
1943,1,8.1877,129.6617
1943,2,11.0198,77.1186
1943,3,10.8815,132.4005
1943,4,15.8094,21.9753
1943,5,15.8563,15.234
1943,6,18.5141,3.2488
1943,7,24.0349,0.6014
1943,8,26.6414,8.7891
1943,9,23.6033,25.217
1943,10,19.4673,28.184
1943,11,14.8602,42.8039
1943,12,9.6292,78.0392
1944,1,12.3057,184.6208
1944,2,10.1334,73.6412
1944,3,12.2418,14.9465
1944,4,13.3793,89.0428
1944,5,15.8871,5.0392
1944,6,17.723,3.3749
1944,7,21.6963,0.7439
1944,8,24.9206,0.1593
1944,9,23.7827,7.6709
1944,10,19.1735,6.7882
1944,11,12.8929,12.5202
1944,12,10.389,8.03
1945,1,9.8673,15.9485
1945,2,9.8053,61.2205
1945,3,14.2347,0.9467
1945,4,14.2766,57.877
1945,5,17.1239,13.3006
1945,6,17.4046,1.9006
1945,7,22.2712,0.7916
1945,8,24.7011,0.786
1945,9,23.6041,0.9372
1945,10,16.1598,9.2123
1945,11,14.5824,0.7179
1945,12,10.3846,48.9993
1946,1,8.6407,46.1397
1946,2,11.5903,1.7117
1946,3,12.1801,34.4101
1946,4,14.1715,12.7032
1946,5,17.1124,19.0685
1946,6,18.9578,2.3064
1946,7,23.4154,0.4292
1946,8,25.1539,1.1562
1946,9,23.5434,0.7515
1946,10,18.578,11.2312
1946,11,12.2185,32.6103
1946,12,10.7448,43.3886
1947,1,11.4594,1.3833
1947,2,12.4414,100.2365
1947,3,13.8492,52.1087
1947,4,14.928,5.1042
1947,5,18.8904,7.4368
1947,6,18.0492,3.9952
1947,7,22.9971,1.3615
1947,8,24.7223,29.1307
1947,9,25.6472,1.0305
1947,10,18.994,10.0029
1947,11,15.1645,40.9885
1947,12,10.2372,17.1244
1948,1,9.9449,64.955
1948,2,14.4175,12.9927
1948,3,11.902,133.4458
1948,4,13.6276,23.4446
1948,5,17.7725,1.5008
1948,6,18.3821,9.4206
1948,7,22.4427,0.8641
1948,8,24.1404,0.2615
