year,month,temp_c,precip_mm,clt_pct
2015,1,11.045746,0.08274135505780578,17.457767
2015,2,9.896088,15.722277998924255,40.842625
2015,3,12.403198,10.425388246774673,35.66143
2015,4,14.707031,7.068812549114227,34.127098
2015,5,14.420044,6.7408426105976105,42.643448
2015,6,17.811646,2.3959236592054367,38.293007
2015,7,21.686493,0.8084252960979939,12.319121
2015,8,24.518768,0.3825096823275089,10.060806
2015,9,25.11325,2.2892189025878906,17.98597
2015,10,18.641357,1.265580140054226,9.858489
2015,11,12.95163,9.726053774356842,20.05854
2015,12,10.38504,3.0910401046276093,18.398746
2016,1,12.620453,0.5561957117170095,34.10377
2016,2,13.38327,56.331106662750244,65.71967
2016,3,11.507721,103.6428575515747,50.65197
2016,4,15.850983,7.733657956123352,46.574833
2016,5,16.238495,6.102432742714882,27.833822
2016,6,20.043976,1.2865125015377998,29.299486
2016,7,23.790863,0.24107572110369802,26.419167
2016,8,24.371643,0.7715812232345343,40.6382
2016,9,24.582733,0.531308501958847,8.173885
2016,10,18.751831,85.09061360359192,31.797281
2016,11,14.442993,76.23238563537598,53.00951
2016,12,11.080475,112.7419102191925,54.561
2017,1,11.429993,198.99839115142822,66.32448
2017,2,11.032349,80.85902094841003,55.18031
2017,3,12.351593,69.16228437423706,42.983833
2017,4,13.988342,39.188854694366455,54.497917
2017,5,17.746704,1.8036351054906845,31.8778
2017,6,19.818878,1.893002986907959,25.77947
2017,7,22.413605,1.6660928539931774,22.725845
2017,8,24.66043,0.7386621627956629,20.123283
2017,9,21.616547,1.3031942769885063,35.222046
2017,10,21.545105,3.955861434340477,44.19908
2017,11,13.233002,86.77856683731079,33.324997
2017,12,9.356232,58.675923347473145,31.111177
2018,1,11.287781,0.9716034941375256,24.458927
2018,2,12.830566,8.629889249801636,46.00249
2018,3,12.906708,10.196838945150375,30.560104
2018,4,14.447418,19.456921219825745,45.549267
2018,5,15.7344055,2.1734910905361176,36.043575
2018,6,18.878204,2.9063817858695984,31.087515
2018,7,23.641876,0.32216793578118086,27.672344
2018,8,24.376465,0.15424629021435976,11.124106
2018,9,23.542206,9.477960169315338,18.992374
2018,10,21.04544,0.2899349657818675,9.290599
2018,11,16.720062,0.6297874823212624,17.118046
2018,12,12.104584,27.49544495344162,35.33909
2019,1,8.537842,6.197675168514252,28.818474
2019,2,14.184113,31.975122809410095,54.32632
2019,3,14.741394,61.35986387729645,32.10243
2019,4,14.881622,4.548077434301376,31.331753
2019,5,14.741547,51.613136291503906,39.106884
2019,6,18.757294,3.7987791001796722,37.234142
2019,7,23.803436,0.7841549478471279,42.42061
2019,8,25.626709,0.660495201125741,21.27573
2019,9,25.354431,43.04318904876709,19.31303
2019,10,19.158081,9.996583223342896,18.117516
2019,11,13.564362,10.230737328529358,34.495537
2019,12,9.745758,63.66964364051819,48.284878
2020,1,9.193268,147.30547666549683,54.343376
2020,2,10.597504,38.22949028015137,46.233566
2020,3,12.220886,101.49319958686829,52.01376
2020,4,12.190491,65.60628890991211,58.056164
2020,5,16.617432,21.671947181224823,45.748203
2020,6,19.181915,2.7302873879671097,34.147274
2020,7,21.779846,1.7943452261388302,42.415607
2020,8,24.755676,13.524689614772797,33.187733
2020,9,23.625336,1.1924082040786743,25.076496
2020,10,22.730377,0.7585424445569515,30.573414
2020,11,14.017792,126.14091396331787,41.321663
2020,12,10.246918,79.63945841789246,43.886845
2021,1,12.128662,77.44850707054138,63.671078
2021,2,11.4904175,115.64115619659424,57.768944
2021,3,13.589539,58.97560155391693,52.467556
2021,4,15.15567,41.73443555831909,40.36547
2021,5,17.086548,18.807672381401062,52.15742
2021,6,18.726501,3.28901544213295,23.859354
2021,7,23.184082,1.2774575538933277,22.01259
2021,8,26.326233,0.07756964955478907,14.369418
2021,9,25.925354,0.11819598264992237,32.757645
2021,10,21.234283,0.4355598269030452,16.205076
2021,11,15.006805,6.734548062086105,47.027496
2021,12,11.551544,60.667314648628235,43.170345
2022,1,13.222626,21.68150556087494,39.610428
2022,2,15.783173,0.658214183524251,31.896687
2022,3,12.359558,43.566211223602295,45.77998
2022,4,14.864685,25.96779763698578,46.357822
2022,5,15.057678,8.214646637439728,29.393951
2022,6,20.037903,1.6013191267848015,16.641924
2022,7,25.415802,0.17254289658740163,10.761106
2022,8,25.282074,0.7489096932113171,20.654339
2022,9,23.937927,17.30132281780243,23.062672
2022,10,21.684326,67.33160614967346,43.167973
2022,11,14.190247,49.578484296798706,34.881336
2022,12,13.983917,25.982512176036835,29.106482
2023,1,11.332092,13.329304546117783,33.303795
2023,2,14.01593,41.91080594062805,50.599792
2023,3,14.069733,60.70643877983093,54.113754
2023,4,16.237915,10.207293033599854,45.22507
2023,5,17.46167,21.796274483203888,51.34297
2023,6,19.640198,1.3777967914938927,23.398417
2023,7,22.30188,40.50891184806824,32.20642
2023,8,25.499725,0.8081011325120926,20.236506
2023,9,24.353363,0.6515983119606972,5.3036394
2023,10,19.881317,38.94310402870178,30.091084
2023,11,12.7127075,7.020160406827927,10.972242
2023,12,10.138306,20.18507868051529,40.11299
2024,1,11.307892,142.18824577331543,68.099236
2024,2,12.17627,4.077882573008537,33.20684
2024,3,14.665253,33.788097858428955,41.462055
2024,4,16.277649,26.126781105995178,45.400005
2024,5,15.539337,4.3213590532541275,39.76515
2024,6,19.355835,1.8853850662708282,35.304066
2024,7,23.222626,0.21759467711672187,25.851517
2024,8,24.257935,0.1333077996969223,16.175375
2024,9,25.278015,0.40740366093814373,15.893303
2024,10,20.42221,0.7987492382526398,19.803614
2024,11,14.945892,23.14931631088257,30.552801
2024,12,11.48822,3.4212310314178467,34.63034
2025,1,15.718628,0.004573669808451086,35.91588
2025,2,13.974579,17.343448221683502,49.936054
2025,3,16.042542,2.368020422756672,35.338577
2025,4,14.5763855,4.3610680103302,36.23528
2025,5,17.26184,0.8300528507679701,24.569208
2025,6,20.982819,1.5682356432080269,27.734371
2025,7,22.11438,0.5381347071379423,10.042928
2025,8,22.16394,0.9897784814238548,44.20029
2025,9,24.913544,0.6688833609223366,34.61432
2025,10,21.388092,0.10414265491999686,38.223106
2025,11,16.859924,36.453577280044556,41.36141
2025,12,12.387329,9.80402797460556,34.557465
2026,1,10.956482,158.72440147399902,64.19135
2026,2,11.272034,105.67477774620056,55.194035
2026,3,15.0224,17.323215186595917,63.942085
2026,4,14.895782,19.444801211357117,37.82539
2026,5,18.150726,2.53287660330534,36.50282
2026,6,19.099792,2.4089549481868744,34.705837
2026,7,23.594635,0.9530998971313238,15.122275
2026,8,23.750305,0.3421053532510996,10.098794
2026,9,26.646606,0.0015854162484174594,9.375029
2026,10,20.486145,28.534047067165375,19.754005
2026,11,13.756348,32.81316876411438,37.74471
2026,12,10.58252,9.515431612730026,37.60587
2027,1,12.801147,4.716677874326706,53.418118
2027,2,11.629547,94.27013397216797,57.736088
2027,3,12.024841,93.93119645118713,55.655796
2027,4,14.090332,27.294176816940308,50.53139
2027,5,16.876099,2.7425876930356026,50.231606
2027,6,20.05661,1.44187331199646,31.524847
2027,7,22.553741,0.21447398187592626,9.390595
2027,8,24.125122,0.5571975354105234,16.171362
2027,9,23.085693,0.7494845800101757,10.865412
2027,10,20.113708,1.754501398652792,31.474983
2027,11,14.6701355,28.370842337608337,46.97042
2027,12,11.953827,42.77453422546387,56.773075
2028,1,12.867401,58.48017334938049,58.276005
2028,2,12.647369,140.23596477508545,68.41484
2028,3,13.305695,101.98719763755798,61.97646
2028,4,14.3845215,16.691338419914246,52.061443
2028,5,16.275848,15.116639316082,43.818726
2028,6,20.026611,3.5373886674642563,40.854214
2028,7,24.332733,0.9807110242545605,21.153076
2028,8,24.842468,0.38376352097839117,34.896957
2028,9,21.387909,73.47010374069214,50.79404
2028,10,19.764038,12.152992844581604,36.53747
2028,11,13.815643,21.00756347179413,28.193628
2028,12,11.076752,9.65142834186554,30.913162
2029,1,11.863739,14.411105066537857,30.317146
2029,2,12.254517,127.3097472190857,43.08501
2029,3,15.144348,41.71714425086975,49.763657
2029,4,14.979584,37.23544478416443,47.32142
2029,5,18.87674,2.485888473689556,35.757286
2029,6,19.937958,2.0836861431598663,47.715015
2029,7,22.875702,0.8459990546107292,25.946663
2029,8,24.179474,0.28851113468408585,13.715299
2029,9,22.4086,4.005146920681,46.467
2029,10,20.661224,1.71610851213336,13.961772
2029,11,16.64746,45.93167781829834,27.219276
2029,12,11.683655,40.65357542037964,37.23058
2030,1,11.901276,53.87224352359772,43.53717
2030,2,11.653809,118.89087057113647,54.265034
2030,3,14.223877,86.47523903846741,42.777542
2030,4,14.582397,9.81964498758316,38.682835
2030,5,19.004364,7.32917907834053,39.971233
2030,6,19.183014,3.9499036967754364,33.152256
2030,7,23.338013,0.6843608934432268,24.27494
2030,8,24.032074,0.3724265433847904,35.741413
2030,9,23.875458,67.91237354278564,45.010178
2030,10,20.018616,62.36773061752319,56.520454
2030,11,15.06073,15.85518479347229,40.171528
2030,12,12.43631,21.716196954250336,28.653196
2031,1,11.149536,73.94935297966003,60.78772
2031,2,13.7022705,59.0258092880249,56.6734
2031,3,13.895111,52.17225253582001,39.98362
2031,4,15.0486145,60.8854079246521,40.12646
2031,5,18.158905,51.421218514442444,52.251045
2031,6,19.76706,1.7040594667196274,26.730408
2031,7,23.386505,0.6487111561000347,29.551254
2031,8,25.143402,1.9063426479697227,22.341862
2031,9,24.702545,2.2532207518815994,20.328108
2031,10,22.453644,2.010277323424816,19.377321
2031,11,16.73471,185.0633668899536,48.82451
2031,12,10.055847,81.18029952049255,43.223858
2032,1,9.37207,78.28072357177734,62.64081
2032,2,12.458038,11.637630373239517,60.294247
2032,3,16.026642,5.5048136711120605,56.10169
2032,4,15.196014,64.68933820724487,60.565517
2032,5,18.17453,4.510636404156685,51.691166
2032,6,20.19928,1.5947183221578598,50.333767
2032,7,23.81253,0.5763737112283707,22.54411
2032,8,26.46875,0.7762385196983814,25.728603
2032,9,24.528748,0.8687800168991089,9.9456415
2032,10,21.706879,2.9622994661331177,29.718359
2032,11,13.684265,66.81329011917114,41.46326
2032,12,12.260681,43.93098175525665,54.66532
2033,1,11.021851,8.453477710485458,38.57931
2033,2,13.7664795,117.42646980285645,30.259583
2033,3,12.861267,99.13655734062195,63.69353
2033,4,13.767639,40.184712409973145,61.061966
2033,5,18.104797,4.186293125152588,40.754555
2033,6,21.958313,0.6686060316860676,22.99919
2033,7,23.399963,1.1789040863513947,31.053139
2033,8,21.80075,0.8692893479019403,30.05508
2033,9,22.686554,1.257106214761734,29.037424
2033,10,21.375183,0.027135641605127603,24.13165
2033,11,15.713654,3.5300329327583313,26.432037
2033,12,13.300995,67.39831709861755,49.008568
2034,1,13.255096,134.93876266479492,57.61656
2034,2,12.537598,139.68306875228882,62.49616
2034,3,14.714813,57.570037484169006,61.263134
2034,4,14.079193,47.173179388046265,49.115158
2034,5,15.834076,22.287262558937073,39.314148
2034,6,18.968689,3.8367435336112976,36.030495
2034,7,24.309174,1.3543753251433372,21.2568
2034,8,27.432587,0.246870924718678,18.822008
2034,9,24.663025,0.1859919587150216,18.440374
2034,10,22.257904,2.074990399181843,16.195644
2034,11,14.573547,28.919686675071716,39.913147
2034,12,11.717834,42.63944935798645,37.534687
2035,1,9.74469,5.1091137528419495,26.892683
2035,2,11.590912,39.48535370826721,38.238388
2035,3,14.417847,27.084602773189545,46.041466
2035,4,16.190918,39.77437376976013,40.71997
2035,5,17.533142,23.487126529216766,41.413094
2035,6,20.193604,2.7341392636299133,34.622055
2035,7,25.325256,0.672135641798377,22.24787
2035,8,25.49234,2.208607465028763,14.80376
2035,9,25.14627,0.9343904256820679,14.3296
2035,10,23.520813,11.900567919015884,34.103897
2035,11,17.129456,0.4300941154360771,21.491938
2035,12,12.269379,71.09521675109863,39.22212
2036,1,12.944122,33.59103226661682,40.649796
2036,2,13.191803,17.764992892742157,42.45697
2036,3,13.6597595,147.14170742034912,66.0648
2036,4,15.821594,2.915196195244789,32.918518
2036,5,17.293152,16.524997174739838,41.615654
2036,6,19.733368,3.1115926802158356,27.286129
2036,7,22.327393,3.1081934049725533,29.565662
2036,8,23.944092,0.13460012339055538,23.272491
2036,9,22.071533,3.834463208913803,39.96045
2036,10,21.678406,33.8278021812439,29.07435
2036,11,14.343689,55.697951316833496,36.881073
2036,12,10.881653,130.15529346466064,46.087673
2037,1,11.928284,42.54827797412872,48.40254
2037,2,12.044586,249.50933742523193,57.340702
2037,3,12.957245,23.15997052192688,39.302505
2037,4,16.14859,8.35733413696289,41.45543
2037,5,18.031433,5.805959910154343,49.13705
2037,6,20.585022,4.938323199748993,47.15776
2037,7,22.855927,1.762309156358242,8.890888
2037,8,25.264374,0.3006060626357794,10.762199
2037,9,22.01587,15.795451998710632,12.680261
2037,10,23.287811,0.9287090990692377,15.348347
2037,11,15.276306,2.943252995610237,30.451866
2037,12,13.214172,36.281221866607666,38.788834
2038,1,12.718933,151.37657403945923,74.01699
2038,2,13.243774,28.057295203208923,54.178577
2038,3,14.861206,51.70229363441467,44.882828
2038,4,16.325562,28.724123239517212,41.185413
2038,5,17.348633,4.664744719862938,42.76304
2038,6,20.184326,1.7253830283880234,30.4508
2038,7,23.477692,0.9637623615562916,18.000666
2038,8,26.721466,0.3807927817106247,25.023708
2038,9,23.83789,15.821524858474731,19.94919
2038,10,21.668335,1.4762358888983727,22.79145
2038,11,16.494202,1.8195093423128128,35.20259
2038,12,10.742065,66.2620062828064,35.676228
2039,1,10.725769,25.78576624393463,36.190983
2039,2,11.942535,53.76579177379608,41.11796
2039,3,12.798401,94.96234107017517,72.05877
2039,4,12.61853,76.9377851486206,66.1629
2039,5,17.019287,3.51480171084404,28.911177
2039,6,18.861237,3.245994597673416,33.611683
2039,7,22.70166,1.775660838931799,18.765835
2039,8,24.194916,0.5502572935074568,8.225725
2039,9,22.946259,43.98835301399231,24.175375
2039,10,18.011902,1.5000758282840252,16.061844
2039,11,16.719635,13.193948864936829,36.98797
2039,12,11.506744,79.62205266952515,55.33606
2040,1,11.177155,6.262683883309364,27.956722
