year,mean_temp_c,total_precip_mm,temp_anomaly_c,precip_anomaly_mm,temp_baseline_c,precip_baseline_mm
1925,16.652370833333354,270.654477061536,0.3489168055555538,-74.51862184687099,16.3034540277778,345.173098908407
1926,16.085841666666692,250.635523414608,-0.21761236111110804,-94.53757549379898,16.3034540277778,345.173098908407
1927,17.083452500000032,367.74515463264,0.779998472222232,22.572055724232996,16.3034540277778,345.173098908407
1928,16.75481333333335,415.197045640944,0.45135930555554893,70.02394673253701,16.3034540277778,345.173098908407
1929,16.94290833333335,388.277496054432,0.6394543055555495,43.10439714602501,16.3034540277778,345.173098908407
1930,17.36030833333336,334.86432120921603,1.0568543055555608,-10.308777699190955,16.3034540277778,345.173098908407
1931,16.281949166666696,398.90644683897597,-0.02150486111110439,53.73334793056898,16.3034540277778,345.173098908407
1932,17.522220833333353,379.8691073228016,1.2187668055555534,34.69600841439461,16.3034540277778,345.173098908407
1933,17.141378333333364,443.363661386496,0.8379243055555641,98.19056247808902,16.3034540277778,345.173098908407
1934,17.067796666666684,415.05917725728,0.7643426388888841,69.88607834887301,16.3034540277778,345.173098908407
1935,16.576495833333354,232.90867425312,0.2730418055555539,-112.26442465528697,16.3034540277778,345.173098908407
1936,16.75338916666669,115.7033243348352,0.4499351388888897,-229.46977457357178,16.3034540277778,345.173098908407
1937,16.3543166666667,293.656024635552,0.0508626388889013,-51.517074272854984,16.3034540277778,345.173098908407
1938,17.49434750000002,204.28687387238398,1.1908934722222213,-140.886225036023,16.3034540277778,345.173098908407
1939,15.539017500000023,494.63716566095997,-0.7644365277777769,149.46406675255298,16.3034540277778,345.173098908407
1940,16.461232500000023,654.456935324736,0.15777847222222263,309.28383641632905,16.3034540277778,345.173098908407
1941,17.819867500000026,222.13877927598145,1.5164134722222258,-123.03431963242554,16.3034540277778,345.173098908407
1942,16.42670666666669,352.873664954208,0.12325263888888927,7.700566045800997,16.3034540277778,345.173098908407
1943,16.54209333333336,563.273538026976,0.23863930555555868,218.100439118569,16.3034540277778,345.173098908407
1944,16.210442500000024,406.577892717216,-0.09301152777777588,61.40479380880902,16.3034540277778,345.173098908407
