year,mean_temp_c,total_precip_mm
1925,16.652370833333354,270.654477061536
1926,16.085841666666692,250.635523414608
1927,17.083452500000032,367.74515463264
1928,16.75481333333335,415.197045640944
1929,16.94290833333335,388.277496054432
1930,17.36030833333336,334.86432120921603
1931,16.281949166666696,398.90644683897597
1932,17.522220833333353,379.8691073228016
1933,17.141378333333364,443.363661386496
1934,17.067796666666684,415.05917725728
1935,16.576495833333354,232.90867425312
1936,16.75338916666669,115.7033243348352
1937,16.3543166666667,293.656024635552
1938,17.49434750000002,204.28687387238398
1939,15.539017500000023,494.63716566095997
1940,16.461232500000023,654.456935324736
1941,17.819867500000026,222.13877927598145
1942,16.42670666666669,352.873664954208
1943,16.54209333333336,563.273538026976
1944,16.210442500000024,406.577892717216
1945,16.20130083333336,212.63798389478399
1946,16.35888250000002,205.906643627616
1947,17.281652500000025,269.903308276512
1948,16.891395000000017,370.95126811666563
1949,15.899916666666693,331.06010222304
1950,16.66901750000002,331.6837785538032
1951,17.341487500000017,473.370089058144
1952,16.603238333333355,268.77767372927997
1953,16.332370000000015,388.144130465952
1954,17.479628333333352,336.750136833024
1955,17.144279166666696,158.32300609728
1956,16.117458333333364,279.90500677343994
1957,17.77859833333335,344.6802617377536
1958,16.757457500000026,390.06666967173123
1959,15.64957583333335,765.9337336217279
1960,16.918358333333355,222.024045193056
1961,16.291764166666685,302.07985751807996
1962,15.805396666666695,416.62648693958397
1963,16.474347500000025,341.807757195168
1964,15.799810833333344,327.7315599128352
1965,16.82763916666669,187.872249875328
1966,15.723185000000024,465.259726331136
1967,16.11975583333336,376.427307072384
1968,16.84284833333335,250.640227109664
1969,16.7894941666667,92.43014012812799
1970,16.197235000000024,256.312465571232
1971,16.78891583333336,264.66909007104
1972,16.171335833333348,242.7529763258208
1973,16.83984416666669,233.23697542569602
1974,17.06071583333336,323.00308571803197
1975,16.160494166666695,258.453768432384
1976,16.159990000000022,279.320053997376
1977,16.25046500000002,576.87322778208
1978,15.845201666666691,631.201378267872
1979,16.842183333333363,531.7865655994943
1980,17.256262500000023,326.004731658144
1981,15.96305083333336,365.861320591968
1982,16.68318000000002,479.884569531264
1983,16.466754166666693,267.335568111744
1984,15.353526666666696,338.784980964768
1985,15.31444916666669,194.855572016064
1986,16.291309166666693,349.4523052731168
1987,15.641600833333362,465.86827213056
1988,15.949184166666688,274.3121690928
1989,16.459616666666687,324.175598699904
1990,16.734064166666688,610.172979908544
1991,17.535510833333362,194.62606772803198
1992,17.031048333333356,228.2475006294048
1993,16.59318583333336,200.154939954048
1994,16.205934166666683,359.54618316912
1995,16.446558333333357,248.2462065736224
1996,16.355140000000024,245.92904077829758
1997,16.670781666666688,122.45191926537599
1998,16.128041666666686,431.779807009728
1999,16.67493750000003,440.1745769850509
2000,16.94564166666669,244.4545594593792
2001,16.169543333333362,438.197906944512
2002,16.128506666666684,566.3107318014087
2003,17.17017333333335,402.07900309142394
2004,16.853205833333362,283.843969098048
2005,16.871639166666693,467.90214681024
2006,17.003278333333355,226.090742965056
2007,16.55751833333335,201.65123147587198
2008,17.16595166666669,433.546575164496
2009,16.530624166666698,264.594719822976
2010,16.97746416666669,244.255531257792
2011,17.660808333333353,286.241028129504
2012,16.869945833333357,292.41014622163203
2013,16.873376666666683,506.45740464115204
2014,16.862869166666695,216.141486845472
